mass,log_mass,year,reclat,reclong,fall,recclass
461.9,6.13534841743656,1983,-76.28361,157.185,Found,L6
31.0,3.4339872044851463,1985,-84.27623,161.39033,Found,H6
14.03,2.6411978941143697,1979,-71.5,35.66667,Found,L6
943.0,6.849066282633458,2006,0.0,0.0,Found,Eucrite-pmict
187.0,5.231108616854587,1999,27.25,16.11667,Found,L4
1.41,0.34358970439007686,2002,-73.10528,75.15222,Found,LL4
117.2,4.763881877142913,2007,0.0,0.0,Found,LL5
0.89,-0.11653381625595151,1979,-71.5,35.66667,Found,LL5/6
48.1,3.8732821771117156,2009,0.0,0.0,Found,L6
188.02,5.236548340150405,1988,-72.0,26.0,Found,L6
10.2,2.322387720290225,1991,-85.67866,-69.06528,Found,H5
3.12,1.1378330018213911,1979,-71.5,35.66667,Found,H4/5
12.6,2.533696813957432,2001,-79.68333,159.75,Found,Ureilite
5.38,1.682688374173693,1979,-71.5,35.66667,Found,H4/5
5400.0,8.594154232552366,1912,-34.31667,149.38333,Found,Eucrite-cm
1.9,0.6418538861723947,2009,0.0,0.0,Found,H6
296.0,5.69035945432406,2000,29.91667,-5.58333,Found,H4
20.55,3.022860940942244,1998,0.0,0.0,Found,L3
114.6,4.741447804280639,2009,0.0,0.0,Found,LL6
5.6,1.7227665977411035,2001,-72.95167,160.50917,Found,H5
3.2,1.1631508098056809,1988,-84.23163,161.50905,Found,H5
10.0,2.302585092994046,2009,0.0,0.0,Found,L6
6.73,1.9065751436566365,1986,-71.5,35.66667,Found,L6
5.47,1.6992786164338898,1979,-71.5,35.66667,Found,L6
3.68,1.3029127521808397,1998,0.0,0.0,Found,H5
11.9,2.4765384001174837,1985,-76.84838,156.42015,Found,CH3
11.5,2.4423470353692043,1974,0.0,35.66667,Found,H6
2335.0,7.755767170102998,2009,0.0,0.0,Found,H5
0.7,-0.35667494393873245,1981,-76.69194,159.39055,Found,H6
2500.0,7.824046010856292,1911,39.8,-100.51667,Found,LL5
0.6,-0.5108256237659907,2003,-72.93472,75.32194,Found,Mesosiderite
3.87,1.3532545070416904,2003,-72.96083,75.24722,Found,Mesosiderite
15.7,2.7536607123542622,1988,-72.0,26.0,Found,H4
40.3,3.696351468952637,1990,-76.2873,156.48477,Found,L6
6.3,1.840549633397487,1999,-72.94639,160.37833,Found,H6
1025.0,6.932447891572509,2000,19.11067,54.81633,Found,H6
7.95,2.0731719286662407,1998,0.0,0.0,Found,L5
68.0,4.219507705176107,1997,27.20267,16.42083,Found,L/LL3-6
1.8,0.5877866649021191,1986,-84.27377,161.69209,Found,H5
10000.0,9.210340371976184,1987,-23.2,-70.43333,Found,L6
752.0,6.62273632394984,1995,2.5,34.75,Found,L6
0.9,-0.10536051565782628,1993,-84.5757,162.55816,Found,L5
992.45,6.900176633458587,1988,-72.0,26.0,Found,L3
0.65,-0.4307829160924542,2003,-72.98361,75.24583,Found,L5
445.32,6.0987931248605065,1988,-72.0,26.0,Found,H4
98.26,4.587617026740502,1987,-72.0,26.0,Found,H4
51.9,3.949318790171843,1986,-84.27426,161.67644,Found,H5
1.3,0.26236426446749106,2006,-72.978056,75.263056,Found,L6
4.29,1.4562867329399256,1974,-71.5,35.66667,Found,H3
243.3,5.494295249789477,1983,-76.27528,157.18417,Found,L6
5.01,1.6114359150967734,2006,-72.779167,75.315556,Found,L6
13.6,2.6100697927420065,1986,-84.27379,161.68789,Found,H5
88.6,4.484131857611035,1995,-85.66667,175.0,Found,L6
7.9,2.066862759472976,1977,-76.71667,159.66667,Found,H6
48.0,3.871201010907891,2009,0.0,0.0,Found,Eucrite
37.88,3.6344232683178777,2002,-84.0,168.0,Found,H5
99.98,4.604970165985424,2008,0.0,0.0,Found,CV3
1906.61,7.553082074984357,1982,-71.5,35.66667,Found,CO3.2
8180.0,9.009447429596793,1950,35.83333,-97.93333,Found,L5
1.8,0.5877866649021191,1993,-84.57572,162.5665,Found,H6
